artist_id,name_base,name_authorized,misc
4b db 37 12 e8 b6 ec fe,Kimii,,
d9 82 4d a9 48 94 39 a1,KarameL,,
4a 8e 2d 21 e5 25 7a cd,Tecchi,,
81 6b 4c cc b5 cf f1 5a,Elliot Hsu,,
93 03 40 53 9d d9 ce d8,alpha,,
8a 05 04 e7 a4 ce c8 00,ARForest,,
19 09 c8 e3 90 d0 33 58,Yunomi,,
f9 d0 d7 b4 b2 37 24 53,Happy Kuru Kuru,,Soundcloud account defunct
21 29 ec 38 2d 71 dd 07,Dream Hackers,,Soundcloud account defunct
a4 ad ac df a2 95 34 7b,PLEEG,,
ec f5 1e 78 09 40 b3 f1,Hyp3rsleep,,
d7 2f d5 14 00 0f f4 22,Ironami,,
a3 e4 c6 24 76 98 00 8e,Milkoi,,
7d 06 52 b1 0e 12 1a 18,Kagi,,
57 e3 ae 97 43 f4 29 89,AIKA,AIKA 🌸,
94 a0 cc 35 a1 a7 7a ac,Trifect,,
86 f1 d1 5f 12 7f 00 f5,KODOMOi,,
20 56 18 df 93 dd 7f df,Sein & Music,,social media accounts defunct
b2 a5 d1 15 40 f5 ab 91,COSMICOSMO,,
4a d2 61 d3 66 5f 7e 46,Kocyamaru,Kocyamarü,
2a ef 92 1c 56 11 ea e4,NaNa,,
2a f4 14 48 5b ef 37 0e,Aire,,
ba b3 77 ed 47 1c 73 e7,dextrust,,
b5 96 a4 88 c5 b7 fa 5e,PIKASONIC,,
