collection_id,song_id
7b f7 7b b0 2d 4f aa a7,94 7f c5 76 66 02 29 c1
80 2a c3 b3 55 70 2a ab,89 32 8f 0f 1f 93 bd 65
8c e2 cc fd 69 b3 c2 aa,11 28 2c 44 bf 5a 37 f3
8c e2 cc fd 69 b3 c2 aa,94 7f c5 76 66 02 29 c1
8c e2 cc fd 69 b3 c2 aa,28 0f ec 8f 63 49 5e c4
8c e2 cc fd 69 b3 c2 aa,43 51 5e 4d 9d d9 38 3e
8c e2 cc fd 69 b3 c2 aa,89 32 8f 0f 1f 93 bd 65
8c e2 cc fd 69 b3 c2 aa,6c 87 7b 35 50 65 f9 9a
8c e2 cc fd 69 b3 c2 aa,6c 1f 61 9b 64 19 fc db
8c e2 cc fd 69 b3 c2 aa,7a c4 5f 29 79 b5 4f 0f
8c e2 cc fd 69 b3 c2 aa,63 d0 cf 57 1b 3e ee 20
8c e2 cc fd 69 b3 c2 aa,3e a0 48 f3 d0 6d bc ff
8c e2 cc fd 69 b3 c2 aa,1c 3d b9 96 14 06 87 d8
8c e2 cc fd 69 b3 c2 aa,de 01 78 57 17 11 f5 58
8c e2 cc fd 69 b3 c2 aa,3e 5a a6 1b b7 a8 28 91
8c e2 cc fd 69 b3 c2 aa,9a 7c 89 ac e9 26 48 52
8c e2 cc fd 69 b3 c2 aa,8f 3b 43 1a 2a bf 7d 62
8c e2 cc fd 69 b3 c2 aa,c8 39 e8 02 a9 7f eb ca
8c e2 cc fd 69 b3 c2 aa,1c 05 d7 e7 c5 ed 54 df
8c e2 cc fd 69 b3 c2 aa,7f d7 40 69 03 00 f1 89
89 6b a2 68 bb 2d ae af,5e 70 57 18 ba f6 1f a4
89 6b a2 68 bb 2d ae af,1a 52 9d 19 da 6d 7c 96
89 6b a2 68 bb 2d ae af,c2 54 f5 c1 fc 5a 27 83
89 6b a2 68 bb 2d ae af,75 09 2e 14 2d 2b eb ae
89 6b a2 68 bb 2d ae af,01 c1 b2 19 03 02 1d 57
89 6b a2 68 bb 2d ae af,62 a7 30 84 0d a2 59 48
89 6b a2 68 bb 2d ae af,e0 03 3a 40 86 18 97 01
89 6b a2 68 bb 2d ae af,56 74 a5 2e 12 ba cf 3d
89 6b a2 68 bb 2d ae af,60 08 28 15 24 a1 6d 4a
89 6b a2 68 bb 2d ae af,50 ce 7b b1 87 45 f3 81
89 6b a2 68 bb 2d ae af,20 ef cd 14 de 1d 3f a6
89 6b a2 68 bb 2d ae af,72 5e 8c c5 0c 20 31 92
89 6b a2 68 bb 2d ae af,69 fa b8 9d a8 ee 56 c6
89 6b a2 68 bb 2d ae af,78 19 c2 81 f5 78 55 41
89 6b a2 68 bb 2d ae af,f0 41 56 99 fd a8 2d 54
89 6b a2 68 bb 2d ae af,12 91 06 44 c1 a7 64 4d
89 6b a2 68 bb 2d ae af,b4 83 a3 50 2c 07 44 97
